ID,Organização na busca,Areia(%),Argila(%),Silte(%),Pedregulho(%),IP,n (cm³/cm³),theta (cm³/cm³),psi (kPa)
1,1. Algarves C,73,3,24,0,6,0.49,0.003,38907.8
1,1. Algarves C,73,3,24,0,6,0.49,0.107,783.425
1,1. Algarves C,73,3,24,0,6,0.49,0.132,282.025
1,1. Algarves C,73,3,24,0,6,0.49,0.137,413.375
1,1. Algarves C,73,3,24,0,6,0.49,0.164,185.674
1,1. Algarves C,73,3,24,0,6,0.49,0.191,62.951
1,1. Algarves C,73,3,24,0,6,0.49,0.209,42.213
1,1. Algarves C,73,3,24,0,6,0.49,0.21,58.226
1,1. Algarves C,73,3,24,0,6,0.49,0.225,36.013
1,1. Algarves C,73,3,24,0,6,0.49,0.235,21.386
1,1. Algarves C,73,3,24,0,6,0.49,0.258,19.397
1,1. Algarves C,73,3,24,0,6,0.49,0.294,9.839
1,1. Algarves C,73,3,24,0,6,0.49,0.298,7.892
1,1. Algarves C,73,3,24,0,6,0.49,0.312,7.008
1,1. Algarves C,73,3,24,0,6,0.49,0.48,8.069
2,3. Areia,100,0,0,0,0,0.26,0.084,3.8
2,3. Areia,100,0,0,0,0,0.26,0.102,3.6
2,3. Areia,100,0,0,0,0,0.26,0.118,3.4
2,3. Areia,100,0,0,0,0,0.26,0.135,3.2
2,3. Areia,100,0,0,0,0,0.26,0.157,3
2,3. Areia,100,0,0,0,0,0.26,0.175,2.8
2,3. Areia,100,0,0,0,0,0.26,0.198,2.6
2,3. Areia,100,0,0,0,0,0.26,0.2175,2.4
2,3. Areia,100,0,0,0,0,0.26,0.232,2.2
2,3. Areia,100,0,0,0,0,0.26,0.2495,2
2,3. Areia,100,0,0,0,0,0.26,0.254,1.8
2,3. Areia,100,0,0,0,0,0.26,0.258,1.4
2,3. Areia,100,0,0,0,0,0.26,0.258,1
2,3. Areia,100,0,0,0,0,0.26,0.258,0.6
2,3. Areia,100,0,0,0,0,0.26,0.258,0
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.021,24920
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.063,11578.8
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.12,8883.35
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.132,5992.27
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.155,617.497
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.16,416.672
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.176,74.162
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.178,48.962
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.181,29.623
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.242,10.352
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.269,7.289
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.293,6.818
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.374,4.684
3,9. Areia Argilo-Siltosa,65,30,5,0,7,0.48,0.486,0.104
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.239,350
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.241,147.24
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.242,246.207
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.265,101.379
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.274,101.379
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.278,72.19
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.324,53.103
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.367,21.724
4,10. areia argilosa laterítica,52,36,12,0,23,0.36,0.401,2.414
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.006,292
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.007,263.8
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.007,280.2
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.008,252.8
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.011,177.3
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.012,212.2
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.013,182
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.013,29.17
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.016,231.5
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.018,136.45
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.024,187.2
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.031,108.45
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.038,181.9
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.045,10.15
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.052,3.45
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.075,0.95
5,15. Areia de duna Salvador-BA,100,0,0,0,0,0.37,0.079,0.95
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.172,738.317
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.174,308.531
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.175,633.62
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.177,418.602
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.18,212.84
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.182,301.686
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.186,208.144
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.188,103.561
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.191,103.535
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.196,48.239
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.201,48.221
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.202,25.614
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.207,25.052
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.213,25.04
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.218,10.461
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.224,10.23
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.231,10.225
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.344,4.621
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.403,1.044
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.412,1.043
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.422,1.02
6,21. Areia fina argilosa,61,28,11,0,9,0.49,0.428,1.042
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.2,130
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.202,120
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.204,110
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.209,100
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.212,90
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.22,80
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.23,70
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.246,60
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.269,50
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.306,40
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.352,30
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.373,25
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.39,20
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.406,15
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.416,10
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.424,5
7,25. Areia Franco Hanra Sharon,85,15,0,0,0,0.43,0.428,0
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.006,6000
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.007,4000
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.007,1350
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.008,450
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.01,155
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.014,80
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.015,40
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.021,19
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.04,9
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.06,6
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.1,4.4
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.12,3.7
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.176,2.85
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.236,2.3
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.3,1.9
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.382,1.05
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.385,0.9
8,32. Areia Rebovot,96.8,1.4,1.8,0,0,0.4,0.4,0.1
